name;brand;cuisine;website;lng;lat
Ptit'Fleur;;reunionese;;3.8897907;43.6091561
Grill Erretegui;;basque;;3.8898633;43.6092715
Cœur d'Orient;;;;3.8894056;43.6091865
Croq'Cœur;;;;3.8896285;43.6092268
Frried Chicken;;chicken;;7.7174757;48.5924501
Good Snack Café;;kebab;;7.7170118;48.5925757
;;;;3.103491;50.418784
;;kebab;;3.8807209;43.6282153
Sushi Shop;Sushi Shop;sushi;https://www.sushishop.fr/fr/restaurant/versailles;2.1326666;48.8059709
Big Fernand;Big Fernand;burger;https://bigfernand.com/;2.1322931;48.8058455
Chez Dursun;;kebab;;6.6351768;48.3440963
BB Smash;;burger;;5.7129869;45.1479833
McDonald's;McDonald's;burger;https://www.restaurants.mcdonalds.fr/mcdonalds-metz;6.1734798;49.11478
McDonald’s;McDonald's;burger;;3.2952632;48.5514721
Vert Tomate;;;;3.8805594;43.6098101
Hot Mix;;chicken;;7.7390863;48.6007278
Ali Baba;;kebab;;6.6348809;48.342741
Casa Nova;;pizza;;6.6348609;48.3439255
La Romandce;;pizza;;1.2982035;43.7652592
Coco Shop;;thai;;-1.6235884;49.6406268
Domino's;Domino's;pizza;;0.6905501;47.3867034
Pizza Bondy;;;;4.8279474;45.7666845
McDonald's;McDonald's;burger;;7.7678429;48.5771051
Domino's Pizza;Domino's Pizza;pizza;;2.1957303;48.8937068
